日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/06/13,永和,PM2.5,27,27,25,22,26,31,31,32,37,37,30,25,24,22,21,22,18,16,16,13,9,8,4,2
2018/06/14,永和,PM2.5,3,3,3,5,5,4,5,7,10,13,16,14,6,6,11,7,8,8,8,8,7,3,2,2
2018/06/15,永和,PM2.5,1,5,7,7,3,2,4,2,4,4,2,3,3,3,5,8,8,7,10,16,17,13,11,9
2018/06/16,永和,PM2.5,7,7,6,7,6,8,11,9,13,16,14,14,15,16,13,13,15,14,13,17,23,22,18,14
2018/06/17,永和,PM2.5,11,12,11,10,11,9,7,7,6,6,7,11,11,8,8,9,9,10,11,11,13,13,10,10
2018/06/18,永和,PM2.5,7,6,7,9,11,10,6,8,11,7,7,11,12,12,7,7,9,9,8,11,13,10,10,8
2018/06/19,永和,PM2.5,8,7,5,6,7,7,4,4,9,12,15,13,10,11,7,3,3,4,4,7,7,7,8,5
2018/06/20,永和,PM2.5,1,5,7,7,6,4,6,8,9,7,7,9,12,9,6,7,7,6,9,8,5,5,2,1
2018/06/21,永和,PM2.5,6,7,6,7,6,5,7,8,9,12,13,13,15,16,17,20,19,15,9,3,3,3,1,3
2018/06/22,永和,PM2.5,3,3,7,8,8,7,6,7,11,14,17,18,19,21,18,13,12,10,8,7,7,8,8,8
2018/06/23,永和,PM2.5,10,12,7,5,7,5,7,8,7,14,16,9,8,11,15,14,7,4,5,8,13,12,5,5
2018/06/24,永和,PM2.5,8,9,6,7,11,10,9,9,10,13,13,14,13,15,13,11,13,10,10,16,17,18,17,16
2018/06/25,永和,PM2.5,16,13,14,16,12,9,13,17,18,20,23,26,27,28,28,27,31,34,28,28,27,26,25,23
2018/06/26,永和,PM2.5,26,22,16,16,16,16,17,20,23,26,30,29,28,30,31,33,34,30,26,27,18,7,10,8
2018/06/27,永和,PM2.5,7,7,7,8,10,10,6,6,14,19,17,18,21,19,18,12,14,19,18,14,7,7,7,8
2018/06/28,永和,PM2.5,17,18,12,12,13,9,12,18,18,13,17,24,,19,25,28,24,20,21,18,15,16,17,15
2018/06/29,永和,PM2.5,12,12,15,15,15,15,15,19,24,23,20,17,16,17,16,10,7,8,9,11,11,7,10,10
2018/06/30,永和,PM2.5,10,15,13,12,10,9,9,13,18,18,20,22,24,24,23,22,19,19,21,23,19,14,12,7
2018/07/01,永和,PM2.5,4,7,8,7,8,9,10,13,16,15,15,14,13,12,13,13,13,15,18,15,10,9,13,15
2018/07/02,永和,PM2.5,10,10,7,7,8,7,8,10,8,10,16,12,7,7,9,13,11,10,10,8,7,8,6,3
2018/07/03,永和,PM2.5,4,5,6,7,8,7,7,9,10,8,8,11,13,11,13,14,12,9,11,13,13,11,8,8
2018/07/04,永和,PM2.5,7,7,10,9,8,8,7,8,10,13,13,10,10,8,9,12,12,8,7,8,7,6,7,7
2018/07/05,永和,PM2.5,8,8,7,5,5,8,8,9,12,16,15,10,13,17,13,8,9,11,11,14,15,13,13,8
2018/07/06,永和,PM2.5,6,5,7,9,8,5,6,9,11,12,16,12,12,13,14,14,10,9,12,11,7,8,13,9
2018/07/07,永和,PM2.5,7,7,5,7,6,7,9,12,15,15,19,20,19,17,12,13,15,9,5,6,11,11,7,6
2018/07/08,永和,PM2.5,6,7,8,7,7,7,7,7,7,14,13,9,10,10,10,13,16,14,8,9,8,6,9,7
2018/07/09,永和,PM2.5,7,8,9,10,9,11,11,10,13,9,7,7,5,7,7,4,6,7,4,1,3,6,4,6
2018/07/10,永和,PM2.5,6,1,3,6,4,8,8,6,9,10,10,12,10,11,9,10,15,13,7,5,7,5,6,6
2018/07/11,永和,PM2.5,4,3,1,3,2,4,7,6,4,7,13,17,19,20,18,12,10,9,9,12,11,10,13,12
2018/07/12,永和,PM2.5,10,10,10,12,15,10,10,15,12,9,9,6,4,6,5,4,7,7,6,6,4,5,4,3
2018/07/13,永和,PM2.5,4,5,9,7,2,6,1,4,7,4,,1,1,2,1,1,4,7,7,3,5,8,8,7
2018/07/14,永和,PM2.5,1,1,5,5,4,3,5,7,7,6,5,4,6,8,9,8,7,8,5,7,6,4,3,1
2018/07/15,永和,PM2.5,1,5,4,2,3,6,10,10,9,7,5,4,4,6,8,5,1,4,6,5,4,5,7,7
2018/07/16,永和,PM2.5,7,4,4,7,7,3,3,7,7,6,6,6,7,5,3,5,7,10,7,5,3,1,7,7
2018/07/17,永和,PM2.5,4,3,2,2,3,5,5,6,6,3,3,5,7,7,8,9,7,7,5,3,5,6,4,3
